# epoch	training_loss	training_acc	validation_loss	validation_acc
609	0.0046	0.9982	0.2081	0.9738
610	0.0050	0.9979	0.2135	0.9722
611	0.0095	0.9974	0.1786	0.9715
612	0.0030	0.9995	0.2239	0.9758
613	0.0025	0.9992	0.1945	0.9765
614	0.0102	0.9984	0.2279	0.9644
615	0.0064	0.9974	0.2097	0.9679
616	0.0054	0.9984	0.2364	0.9648
617	0.0086	0.9971	0.2244	0.9679
618	0.0042	0.9990	0.1715	0.9722
619	0.0081	0.9977	0.1656	0.9734
620	0.0020	0.9992	0.2554	0.9648
621	0.0067	0.9982	0.1792	0.9758
622	0.0071	0.9987	0.1639	0.9730
623	0.0028	0.9990	0.1948	0.9754
624	0.0020	0.9990	0.2145	0.9754
625	0.0034	0.9982	0.2678	0.9722
626	0.0102	0.9966	0.2083	0.9742
627	0.0094	0.9961	0.1509	0.9726
628	0.0014	0.9997	0.2000	0.9742
